"agencyName","county","agencyType"
"ABERDEEN POLICE DEPT","Moore County","Police"
"AHOSKIE POLICE DEPT","Hertford County","Police"
"ALAMANCE COUNTY SHERIFF DEPT","Alamance County","Sheriff"
"ALBEMARLE POLICE DEPT","Stanly County","Police"
"ALBERT ELLIS AIRPORT POLICE AGENCY","Airports","Police"
"ALEXANDER COUNTY SHERIFF DEPT","Alexander County","Sheriff"
"ALLEGHANY COUNTY SHERIFF DEPT","Alleghany County","Sheriff"
"ANDREWS POLICE DEPT","Cherokee County","Police"
"ANSON COUNTY SHERIFF OFFICE","Anson County","Sheriff"
"APPALACHIAN STATE UNIV POLICE","Universities","Police"
"ARBORETUM SPECIAL POLICE DEPT","Unknown","Police"
"ARCHDALE POLICE DEPT","Guilford County, Randolph County","Police"
"ASHE COUNTY SHERIFF OFFICE","Ashe County","Sheriff"
"ASHEBORO POLICE DEPT","Randolph County","Police"
"ASHEVILLE POLICE DEPT","Buncombe County","Police"
"ASHEVILLE REGIONAL AIRPORT POLICE","Airports","Police"
"ATLANTIC BEACH POLICE DEPT","Carteret County","Police"
"AVERY COUNTY SHERIFF DEPT","Avery County","Sheriff"
"AYDEN POLICE DEPT","Pitt County","Police"
"BADIN POLICE DEPT","Stanly County","Police"
"BALD HEAD ISLAND POLICE","Brunswick County","Police"
"BANNER ELK POLICE DEPT","Avery County","Police"
"BEAUFORT COUNTY SHERIFF DEPT","Beaufort County","Sheriff"
"BEAUFORT POLICE DEPT","Carteret County","Police"
"BEECH MOUNTAIN POLICE DEPT","Avery County, Watauga County","Police"
"BELHAVEN POLICE DEPT","Beaufort County","Police"
"BELMONT POLICE DEPT","Gaston County","Police"
"BERTIE COUNTY SHERIFF DEPT","Bertie County","Sheriff"
"BETHEL POLICE DEPT","Pitt County","Police"
"BEULAVILLE POLICE DEPT","Duplin County","Police"
"BISCOE POLICE DEPT","Montgomery County","Police"
"BLADEN COUNTY SHERIFF DEPT","Bladen County","Sheriff"
"BLADENBORO POLICE DEPT","Bladen County","Police"
"BLOWING ROCK POLICE DEPT","Caldwell County, Watauga County","Police"
"BOILING SPRINGS LAKE POLICE DEPT","Cleveland County","Police"
"BOILING SPRINGS POLICE DEPT","Cleveland County","Police"
"BOONE POLICE DEPT","Watauga County","Police"
"BRIDGETON POLICE DEPT","Craven County","Police"
"BROUGHTON POLICE DEPT","Unknown","Police"
"BRUNSWICK COUNTY SHERIFF OFFICE","Brunswick County","Sheriff"
"BRYSON CITY POLICE DEPT","Swain County","Police"
"BUNCOMBE COUNTY SHERIFF DEPT","Buncombe County","Sheriff"
"BURGAW POLICE DEPT","Pender County","Police"
"BURKE COUNTY SHERIFF DEPT","Burke County","Sheriff"
"BURNSVILLE POLICE DEPT","Yancey County","Police"
"BUTNER PUBLIC SAFETY","Granville County","unknown"
"CABARRUS COUNTY SHERIFF DEPT","Cabarrus County","Sheriff"
"CALDWELL COUNTY SHERIFF DEPT","Caldwell County","Sheriff"
"CANDOR POLICE DEPT","Montgomery County","Police"
"CAROLINA BEACH POLICE DEPT","New Hanover County","Police"
